Year,Locality,Count
2000,ARTHURS SEAT,NA
2001,ARTHURS SEAT,NA
2002,ARTHURS SEAT,NA
2003,ARTHURS SEAT,6
2004,ARTHURS SEAT,NA
2005,ARTHURS SEAT,NA
2006,ARTHURS SEAT,NA
2007,ARTHURS SEAT,NA
2008,ARTHURS SEAT,NA
2009,ARTHURS SEAT,NA
2010,ARTHURS SEAT,2
2011,ARTHURS SEAT,NA
2012,ARTHURS SEAT,NA
2013,ARTHURS SEAT,NA
2014,ARTHURS SEAT,NA
2015,ARTHURS SEAT,NA
2016,ARTHURS SEAT,1
2017,ARTHURS SEAT,NA
2018,ARTHURS SEAT,NA
2019,ARTHURS SEAT,NA
2000,BALNARRING,NA
2001,BALNARRING,NA
2002,BALNARRING,NA
2003,BALNARRING,NA
2004,BALNARRING,NA
2005,BALNARRING,1
2006,BALNARRING,NA
2007,BALNARRING,NA
2008,BALNARRING,NA
2009,BALNARRING,NA
2010,BALNARRING,2
2011,BALNARRING,4
2012,BALNARRING,2
2013,BALNARRING,NA
2014,BALNARRING,12
2015,BALNARRING,7
2016,BALNARRING,50
2017,BALNARRING,19
2018,BALNARRING,184
2019,BALNARRING,189
2000,BALNARRING BEACH,NA
2001,BALNARRING BEACH,NA
2002,BALNARRING BEACH,NA
2003,BALNARRING BEACH,NA
2004,BALNARRING BEACH,NA
2005,BALNARRING BEACH,NA
2006,BALNARRING BEACH,NA
2007,BALNARRING BEACH,NA
2008,BALNARRING BEACH,2
2009,BALNARRING BEACH,NA
2010,BALNARRING BEACH,NA
2011,BALNARRING BEACH,NA
2012,BALNARRING BEACH,NA
2013,BALNARRING BEACH,NA
2014,BALNARRING BEACH,NA
2015,BALNARRING BEACH,NA
2016,BALNARRING BEACH,NA
2017,BALNARRING BEACH,NA
2018,BALNARRING BEACH,NA
2019,BALNARRING BEACH,NA
2000,BAXTER,NA
2001,BAXTER,NA
2002,BAXTER,NA
2003,BAXTER,NA
2004,BAXTER,NA
2005,BAXTER,NA
2006,BAXTER,3
2007,BAXTER,9
2008,BAXTER,NA
2009,BAXTER,NA
2010,BAXTER,NA
2011,BAXTER,NA
2012,BAXTER,NA
2013,BAXTER,NA
2014,BAXTER,3
2015,BAXTER,4
2016,BAXTER,NA
2017,BAXTER,NA
2018,BAXTER,3
2019,BAXTER,NA
2000,BITTERN,NA
2001,BITTERN,NA
2002,BITTERN,NA
2003,BITTERN,NA
2004,BITTERN,NA
2005,BITTERN,NA
2006,BITTERN,20
2007,BITTERN,12
2008,BITTERN,NA
2009,BITTERN,NA
2010,BITTERN,NA
2011,BITTERN,NA
2012,BITTERN,4
2013,BITTERN,NA
2014,BITTERN,10
2015,BITTERN,4
2016,BITTERN,4
2017,BITTERN,1
2018,BITTERN,9
2019,BITTERN,7
2000,BLAIRGOWRIE,NA
2001,BLAIRGOWRIE,NA
2002,BLAIRGOWRIE,NA
2003,BLAIRGOWRIE,NA
2004,BLAIRGOWRIE,NA
2005,BLAIRGOWRIE,NA
2006,BLAIRGOWRIE,NA
2007,BLAIRGOWRIE,NA
2008,BLAIRGOWRIE,NA
2009,BLAIRGOWRIE,NA
2010,BLAIRGOWRIE,NA
2011,BLAIRGOWRIE,NA
2012,BLAIRGOWRIE,NA
2013,BLAIRGOWRIE,NA
2014,BLAIRGOWRIE,NA
2015,BLAIRGOWRIE,NA
2016,BLAIRGOWRIE,NA
2017,BLAIRGOWRIE,NA
2018,BLAIRGOWRIE,NA
2019,BLAIRGOWRIE,NA
2000,BONEO,9
2001,BONEO,NA
2002,BONEO,NA
2003,BONEO,2
2004,BONEO,NA
2005,BONEO,2
2006,BONEO,NA
2007,BONEO,NA
2008,BONEO,NA
2009,BONEO,NA
2010,BONEO,NA
2011,BONEO,NA
2012,BONEO,NA
2013,BONEO,21
2014,BONEO,26
2015,BONEO,60
2016,BONEO,NA
2017,BONEO,6
2018,BONEO,16
2019,BONEO,20
2000,CAPE SCHANCK,NA
2001,CAPE SCHANCK,NA
2002,CAPE SCHANCK,NA
2003,CAPE SCHANCK,NA
2004,CAPE SCHANCK,NA
2005,CAPE SCHANCK,NA
2006,CAPE SCHANCK,NA
2007,CAPE SCHANCK,NA
2008,CAPE SCHANCK,NA
2009,CAPE SCHANCK,NA
2010,CAPE SCHANCK,NA
2011,CAPE SCHANCK,NA
2012,CAPE SCHANCK,NA
2013,CAPE SCHANCK,NA
2014,CAPE SCHANCK,NA
2015,CAPE SCHANCK,2
2016,CAPE SCHANCK,NA
2017,CAPE SCHANCK,1
2018,CAPE SCHANCK,3
2019,CAPE SCHANCK,0
2000,CAPEL SOUND,4
2001,CAPEL SOUND,2
2002,CAPEL SOUND,NA
2003,CAPEL SOUND,NA
2004,CAPEL SOUND,NA
2005,CAPEL SOUND,NA
2006,CAPEL SOUND,NA
2007,CAPEL SOUND,NA
2008,CAPEL SOUND,NA
2009,CAPEL SOUND,NA
2010,CAPEL SOUND,NA
2011,CAPEL SOUND,13
2012,CAPEL SOUND,28
2013,CAPEL SOUND,2
2014,CAPEL SOUND,26
2015,CAPEL SOUND,25
2016,CAPEL SOUND,10
2017,CAPEL SOUND,22
2018,CAPEL SOUND,14
2019,CAPEL SOUND,2
2000,CRIB POINT,NA
2001,CRIB POINT,NA
2002,CRIB POINT,NA
2003,CRIB POINT,NA
2004,CRIB POINT,NA
2005,CRIB POINT,NA
2006,CRIB POINT,NA
2007,CRIB POINT,1
2008,CRIB POINT,NA
2009,CRIB POINT,NA
2010,CRIB POINT,14
2011,CRIB POINT,NA
2012,CRIB POINT,NA
2013,CRIB POINT,2
2014,CRIB POINT,11
2015,CRIB POINT,24
2016,CRIB POINT,NA
2017,CRIB POINT,2
2018,CRIB POINT,9
2019,CRIB POINT,NA
2000,DROMANA,NA
2001,DROMANA,NA
2002,DROMANA,2
2003,DROMANA,6
2004,DROMANA,NA
2005,DROMANA,NA
2006,DROMANA,NA
2007,DROMANA,1
2008,DROMANA,NA
2009,DROMANA,NA
2010,DROMANA,NA
2011,DROMANA,NA
2012,DROMANA,NA
2013,DROMANA,NA
2014,DROMANA,6
2015,DROMANA,4
2016,DROMANA,NA
2017,DROMANA,18
2018,DROMANA,19
2019,DROMANA,4
2000,FINGAL,NA
2001,FINGAL,NA
2002,FINGAL,NA
2003,FINGAL,NA
2004,FINGAL,NA
2005,FINGAL,NA
2006,FINGAL,NA
2007,FINGAL,NA
2008,FINGAL,NA
2009,FINGAL,NA
2010,FINGAL,NA
2011,FINGAL,NA
2012,FINGAL,NA
2013,FINGAL,NA
2014,FINGAL,NA
2015,FINGAL,NA
2016,FINGAL,NA
2017,FINGAL,NA
2018,FINGAL,NA
2019,FINGAL,NA
2000,FLINDERS,NA
2001,FLINDERS,NA
2002,FLINDERS,NA
2003,FLINDERS,NA
2004,FLINDERS,NA
2005,FLINDERS,4
2006,FLINDERS,NA
2007,FLINDERS,NA
2008,FLINDERS,NA
2009,FLINDERS,NA
2010,FLINDERS,6
2011,FLINDERS,6
2012,FLINDERS,NA
2013,FLINDERS,2
2014,FLINDERS,12
2015,FLINDERS,13
2016,FLINDERS,1
2017,FLINDERS,23
2018,FLINDERS,21
2019,FLINDERS,12
2000,HASTINGS,NA
2001,HASTINGS,NA
2002,HASTINGS,NA
2003,HASTINGS,NA
2004,HASTINGS,NA
2005,HASTINGS,5
2006,HASTINGS,NA
2007,HASTINGS,NA
2008,HASTINGS,1
2009,HASTINGS,NA
2010,HASTINGS,23
2011,HASTINGS,NA
2012,HASTINGS,NA
2013,HASTINGS,NA
2014,HASTINGS,8
2015,HASTINGS,56
2016,HASTINGS,54
2017,HASTINGS,39
2018,HASTINGS,16
2019,HASTINGS,108
2000,HMAS CERBERUS,NA
2001,HMAS CERBERUS,NA
2002,HMAS CERBERUS,NA
2003,HMAS CERBERUS,NA
2004,HMAS CERBERUS,NA
2005,HMAS CERBERUS,10
2006,HMAS CERBERUS,NA
2007,HMAS CERBERUS,NA
2008,HMAS CERBERUS,NA
2009,HMAS CERBERUS,NA
2010,HMAS CERBERUS,39
2011,HMAS CERBERUS,NA
2012,HMAS CERBERUS,NA
2013,HMAS CERBERUS,4
2014,HMAS CERBERUS,18
2015,HMAS CERBERUS,NA
2016,HMAS CERBERUS,NA
2017,HMAS CERBERUS,4
2018,HMAS CERBERUS,4
2019,HMAS CERBERUS,NA
2000,MAIN RIDGE,NA
2001,MAIN RIDGE,NA
2002,MAIN RIDGE,NA
2003,MAIN RIDGE,NA
2004,MAIN RIDGE,NA
2005,MAIN RIDGE,10
2006,MAIN RIDGE,NA
2007,MAIN RIDGE,NA
2008,MAIN RIDGE,NA
2009,MAIN RIDGE,6
2010,MAIN RIDGE,NA
2011,MAIN RIDGE,NA
2012,MAIN RIDGE,NA
2013,MAIN RIDGE,NA
2014,MAIN RIDGE,NA
2015,MAIN RIDGE,NA
2016,MAIN RIDGE,NA
2017,MAIN RIDGE,2
2018,MAIN RIDGE,NA
2019,MAIN RIDGE,NA
2000,MCCRAE,NA
2001,MCCRAE,NA
2002,MCCRAE,NA
2003,MCCRAE,NA
2004,MCCRAE,NA
2005,MCCRAE,NA
2006,MCCRAE,NA
2007,MCCRAE,NA
2008,MCCRAE,NA
2009,MCCRAE,NA
2010,MCCRAE,NA
2011,MCCRAE,NA
2012,MCCRAE,NA
2013,MCCRAE,NA
2014,MCCRAE,NA
2015,MCCRAE,NA
2016,MCCRAE,NA
2017,MCCRAE,NA
2018,MCCRAE,2
2019,MCCRAE,NA
2000,MERRICKS,NA
2001,MERRICKS,NA
2002,MERRICKS,NA
2003,MERRICKS,NA
2004,MERRICKS,NA
2005,MERRICKS,NA
2006,MERRICKS,NA
2007,MERRICKS,NA
2008,MERRICKS,NA
2009,MERRICKS,NA
2010,MERRICKS,NA
2011,MERRICKS,2
2012,MERRICKS,NA
2013,MERRICKS,NA
2014,MERRICKS,NA
2015,MERRICKS,NA
2016,MERRICKS,NA
2017,MERRICKS,NA
2018,MERRICKS,NA
2019,MERRICKS,NA
2000,MERRICKS BEACH,NA
2001,MERRICKS BEACH,NA
2002,MERRICKS BEACH,NA
2003,MERRICKS BEACH,NA
2004,MERRICKS BEACH,NA
2005,MERRICKS BEACH,NA
2006,MERRICKS BEACH,NA
2007,MERRICKS BEACH,NA
2008,MERRICKS BEACH,NA
2009,MERRICKS BEACH,NA
2010,MERRICKS BEACH,NA
2011,MERRICKS BEACH,NA
2012,MERRICKS BEACH,NA
2013,MERRICKS BEACH,NA
2014,MERRICKS BEACH,NA
2015,MERRICKS BEACH,NA
2016,MERRICKS BEACH,NA
2017,MERRICKS BEACH,NA
2018,MERRICKS BEACH,NA
2019,MERRICKS BEACH,2
2000,MERRICKS NORTH,NA
2001,MERRICKS NORTH,NA
2002,MERRICKS NORTH,NA
2003,MERRICKS NORTH,NA
2004,MERRICKS NORTH,NA
2005,MERRICKS NORTH,NA
2006,MERRICKS NORTH,NA
2007,MERRICKS NORTH,NA
2008,MERRICKS NORTH,NA
2009,MERRICKS NORTH,NA
2010,MERRICKS NORTH,NA
2011,MERRICKS NORTH,NA
2012,MERRICKS NORTH,NA
2013,MERRICKS NORTH,NA
2014,MERRICKS NORTH,NA
2015,MERRICKS NORTH,NA
2016,MERRICKS NORTH,NA
2017,MERRICKS NORTH,NA
2018,MERRICKS NORTH,NA
2019,MERRICKS NORTH,NA
2000,MOOROODUC,4
2001,MOOROODUC,5
2002,MOOROODUC,NA
2003,MOOROODUC,NA
2004,MOOROODUC,27
2005,MOOROODUC,166
2006,MOOROODUC,2
2007,MOOROODUC,1
2008,MOOROODUC,2
2009,MOOROODUC,72
2010,MOOROODUC,46
2011,MOOROODUC,NA
2012,MOOROODUC,NA
2013,MOOROODUC,NA
2014,MOOROODUC,6
2015,MOOROODUC,4
2016,MOOROODUC,3
2017,MOOROODUC,4
2018,MOOROODUC,0
2019,MOOROODUC,NA
2000,MORNINGTON,NA
2001,MORNINGTON,NA
2002,MORNINGTON,NA
2003,MORNINGTON,12
2004,MORNINGTON,NA
2005,MORNINGTON,10
2006,MORNINGTON,NA
2007,MORNINGTON,6
2008,MORNINGTON,18
2009,MORNINGTON,9
2010,MORNINGTON,22
2011,MORNINGTON,NA
2012,MORNINGTON,NA
2013,MORNINGTON,2
2014,MORNINGTON,6
2015,MORNINGTON,9
2016,MORNINGTON,NA
2017,MORNINGTON,6
2018,MORNINGTON,12
2019,MORNINGTON,5
2000,MOUNT ELIZA,NA
2001,MOUNT ELIZA,NA
2002,MOUNT ELIZA,NA
2003,MOUNT ELIZA,NA
2004,MOUNT ELIZA,NA
2005,MOUNT ELIZA,NA
2006,MOUNT ELIZA,NA
2007,MOUNT ELIZA,20
2008,MOUNT ELIZA,6
2009,MOUNT ELIZA,3
2010,MOUNT ELIZA,3
2011,MOUNT ELIZA,8
2012,MOUNT ELIZA,NA
2013,MOUNT ELIZA,2
2014,MOUNT ELIZA,2
2015,MOUNT ELIZA,4
2016,MOUNT ELIZA,1
2017,MOUNT ELIZA,9
2018,MOUNT ELIZA,2
2019,MOUNT ELIZA,14
2000,MOUNT MARTHA,31
2001,MOUNT MARTHA,9
2002,MOUNT MARTHA,5
2003,MOUNT MARTHA,9
2004,MOUNT MARTHA,5
2005,MOUNT MARTHA,4
2006,MOUNT MARTHA,5
2007,MOUNT MARTHA,8
2008,MOUNT MARTHA,6
2009,MOUNT MARTHA,2
2010,MOUNT MARTHA,NA
2011,MOUNT MARTHA,13
2012,MOUNT MARTHA,6
2013,MOUNT MARTHA,4
2014,MOUNT MARTHA,49
2015,MOUNT MARTHA,39
2016,MOUNT MARTHA,23
2017,MOUNT MARTHA,50
2018,MOUNT MARTHA,26
2019,MOUNT MARTHA,85
2000,POINT LEO,NA
2001,POINT LEO,NA
2002,POINT LEO,NA
2003,POINT LEO,NA
2004,POINT LEO,NA
2005,POINT LEO,NA
2006,POINT LEO,NA
2007,POINT LEO,NA
2008,POINT LEO,NA
2009,POINT LEO,5
2010,POINT LEO,NA
2011,POINT LEO,2
2012,POINT LEO,NA
2013,POINT LEO,NA
2014,POINT LEO,4
2015,POINT LEO,NA
2016,POINT LEO,2
2017,POINT LEO,7
2018,POINT LEO,8
2019,POINT LEO,8
2000,PORTSEA,NA
2001,PORTSEA,NA
2002,PORTSEA,NA
2003,PORTSEA,NA
2004,PORTSEA,NA
2005,PORTSEA,NA
2006,PORTSEA,NA
2007,PORTSEA,NA
2008,PORTSEA,NA
2009,PORTSEA,2
2010,PORTSEA,NA
2011,PORTSEA,NA
2012,PORTSEA,NA
2013,PORTSEA,NA
2014,PORTSEA,2
2015,PORTSEA,4
2016,PORTSEA,13
2017,PORTSEA,9
2018,PORTSEA,78
2019,PORTSEA,16
2000,RED HILL,NA
2001,RED HILL,NA
2002,RED HILL,NA
2003,RED HILL,NA
2004,RED HILL,NA
2005,RED HILL,2
2006,RED HILL,2
2007,RED HILL,NA
2008,RED HILL,1
2009,RED HILL,NA
2010,RED HILL,NA
2011,RED HILL,NA
2012,RED HILL,NA
2013,RED HILL,NA
2014,RED HILL,NA
2015,RED HILL,NA
2016,RED HILL,NA
2017,RED HILL,2
2018,RED HILL,NA
2019,RED HILL,NA
2000,RED HILL SOUTH,NA
2001,RED HILL SOUTH,NA
2002,RED HILL SOUTH,NA
2003,RED HILL SOUTH,NA
2004,RED HILL SOUTH,NA
2005,RED HILL SOUTH,NA
2006,RED HILL SOUTH,NA
2007,RED HILL SOUTH,NA
2008,RED HILL SOUTH,NA
2009,RED HILL SOUTH,NA
2010,RED HILL SOUTH,NA
2011,RED HILL SOUTH,NA
2012,RED HILL SOUTH,NA
2013,RED HILL SOUTH,NA
2014,RED HILL SOUTH,NA
2015,RED HILL SOUTH,NA
2016,RED HILL SOUTH,NA
2017,RED HILL SOUTH,NA
2018,RED HILL SOUTH,NA
2019,RED HILL SOUTH,NA
2000,ROSEBUD,NA
2001,ROSEBUD,NA
2002,ROSEBUD,NA
2003,ROSEBUD,NA
2004,ROSEBUD,NA
2005,ROSEBUD,NA
2006,ROSEBUD,NA
2007,ROSEBUD,NA
2008,ROSEBUD,NA
2009,ROSEBUD,1
2010,ROSEBUD,NA
2011,ROSEBUD,NA
2012,ROSEBUD,NA
2013,ROSEBUD,NA
2014,ROSEBUD,7
2015,ROSEBUD,3
2016,ROSEBUD,2
2017,ROSEBUD,NA
2018,ROSEBUD,3
2019,ROSEBUD,8
2000,RYE,NA
2001,RYE,NA
2002,RYE,NA
2003,RYE,NA
2004,RYE,NA
2005,RYE,NA
2006,RYE,NA
2007,RYE,NA
2008,RYE,NA
2009,RYE,NA
2010,RYE,NA
2011,RYE,NA
2012,RYE,2
2013,RYE,NA
2014,RYE,NA
2015,RYE,NA
2016,RYE,1
2017,RYE,2
2018,RYE,NA
2019,RYE,NA
2000,SAFETY BEACH,NA
2001,SAFETY BEACH,NA
2002,SAFETY BEACH,NA
2003,SAFETY BEACH,NA
2004,SAFETY BEACH,1
2005,SAFETY BEACH,NA
2006,SAFETY BEACH,NA
2007,SAFETY BEACH,NA
2008,SAFETY BEACH,NA
2009,SAFETY BEACH,NA
2010,SAFETY BEACH,NA
2011,SAFETY BEACH,NA
2012,SAFETY BEACH,NA
2013,SAFETY BEACH,NA
2014,SAFETY BEACH,NA
2015,SAFETY BEACH,NA
2016,SAFETY BEACH,NA
2017,SAFETY BEACH,NA
2018,SAFETY BEACH,2
2019,SAFETY BEACH,NA
2000,SHOREHAM,NA
2001,SHOREHAM,NA
2002,SHOREHAM,NA
2003,SHOREHAM,NA
2004,SHOREHAM,NA
2005,SHOREHAM,4
2006,SHOREHAM,NA
2007,SHOREHAM,NA
2008,SHOREHAM,NA
2009,SHOREHAM,NA
2010,SHOREHAM,NA
2011,SHOREHAM,NA
2012,SHOREHAM,NA
2013,SHOREHAM,NA
2014,SHOREHAM,6
2015,SHOREHAM,12
2016,SHOREHAM,NA
2017,SHOREHAM,NA
2018,SHOREHAM,NA
2019,SHOREHAM,NA
2000,SOMERS,NA
2001,SOMERS,3
2002,SOMERS,4
2003,SOMERS,6
2004,SOMERS,1
2005,SOMERS,NA
2006,SOMERS,5
2007,SOMERS,NA
2008,SOMERS,3
2009,SOMERS,3
2010,SOMERS,NA
2011,SOMERS,2
2012,SOMERS,6
2013,SOMERS,3
2014,SOMERS,93
2015,SOMERS,33
2016,SOMERS,24
2017,SOMERS,21
2018,SOMERS,22
2019,SOMERS,7
2000,SOMERVILLE,NA
2001,SOMERVILLE,NA
2002,SOMERVILLE,NA
2003,SOMERVILLE,NA
2004,SOMERVILLE,NA
2005,SOMERVILLE,NA
2006,SOMERVILLE,NA
2007,SOMERVILLE,NA
2008,SOMERVILLE,7
2009,SOMERVILLE,NA
2010,SOMERVILLE,NA
2011,SOMERVILLE,2
2012,SOMERVILLE,NA
2013,SOMERVILLE,NA
2014,SOMERVILLE,7
2015,SOMERVILLE,14
2016,SOMERVILLE,NA
2017,SOMERVILLE,1
2018,SOMERVILLE,5
2019,SOMERVILLE,7
2000,SORRENTO,NA
2001,SORRENTO,1
2002,SORRENTO,NA
2003,SORRENTO,NA
2004,SORRENTO,NA
2005,SORRENTO,NA
2006,SORRENTO,NA
2007,SORRENTO,NA
2008,SORRENTO,NA
2009,SORRENTO,NA
2010,SORRENTO,NA
2011,SORRENTO,NA
2012,SORRENTO,1
2013,SORRENTO,NA
2014,SORRENTO,2
2015,SORRENTO,2
2016,SORRENTO,NA
2017,SORRENTO,2
2018,SORRENTO,4
2019,SORRENTO,5
2000,ST ANDREWS BEACH,NA
2001,ST ANDREWS BEACH,NA
2002,ST ANDREWS BEACH,NA
2003,ST ANDREWS BEACH,NA
2004,ST ANDREWS BEACH,NA
2005,ST ANDREWS BEACH,NA
2006,ST ANDREWS BEACH,NA
2007,ST ANDREWS BEACH,NA
2008,ST ANDREWS BEACH,NA
2009,ST ANDREWS BEACH,NA
2010,ST ANDREWS BEACH,NA
2011,ST ANDREWS BEACH,NA
2012,ST ANDREWS BEACH,NA
2013,ST ANDREWS BEACH,NA
2014,ST ANDREWS BEACH,NA
2015,ST ANDREWS BEACH,NA
2016,ST ANDREWS BEACH,NA
2017,ST ANDREWS BEACH,NA
2018,ST ANDREWS BEACH,NA
2019,ST ANDREWS BEACH,NA
2000,TOOTGAROOK,NA
2001,TOOTGAROOK,NA
2002,TOOTGAROOK,NA
2003,TOOTGAROOK,NA
2004,TOOTGAROOK,NA
2005,TOOTGAROOK,NA
2006,TOOTGAROOK,NA
2007,TOOTGAROOK,NA
2008,TOOTGAROOK,NA
2009,TOOTGAROOK,NA
2010,TOOTGAROOK,NA
2011,TOOTGAROOK,NA
2012,TOOTGAROOK,NA
2013,TOOTGAROOK,NA
2014,TOOTGAROOK,NA
2015,TOOTGAROOK,NA
2016,TOOTGAROOK,NA
2017,TOOTGAROOK,NA
2018,TOOTGAROOK,NA
2019,TOOTGAROOK,NA
2000,TUERONG,NA
2001,TUERONG,NA
2002,TUERONG,2
2003,TUERONG,NA
2004,TUERONG,21
2005,TUERONG,38
2006,TUERONG,15
2007,TUERONG,NA
2008,TUERONG,25
2009,TUERONG,20
2010,TUERONG,262
2011,TUERONG,183
2012,TUERONG,219
2013,TUERONG,329
2014,TUERONG,23
2015,TUERONG,20
2016,TUERONG,115
2017,TUERONG,361
2018,TUERONG,178
2019,TUERONG,125
2000,TYABB,2
2001,TYABB,NA
2002,TYABB,NA
2003,TYABB,NA
2004,TYABB,NA
2005,TYABB,NA
2006,TYABB,14
2007,TYABB,NA
2008,TYABB,NA
2009,TYABB,NA
2010,TYABB,NA
2011,TYABB,NA
2012,TYABB,17
2013,TYABB,6
2014,TYABB,31
2015,TYABB,13
2016,TYABB,NA
2017,TYABB,6
2018,TYABB,20
2019,TYABB,9
